,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
cold_lbp_30_13,26.0,0.032214852587669686,0.00808883199369837,0.023052619485294117,0.026278147977941174,0.03052332261029412,0.03449994255514706,0.05803653492647059,1.5153588854771556,2.3356905500693266
cold_lbp_30_14,26.0,0.0237697963800905,0.006113364851026468,0.015475643382352942,0.01955710018382353,0.022613166360294118,0.025327435661764704,0.03752872242647059,1.1184566046735553,0.38306192985941045
cold_lbp_30_15,26.0,0.02737976350395928,0.00437751718203003,0.020938648897058824,0.02449017693014706,0.026889935661764706,0.028478285845588234,0.038878676470588236,1.060064759990132,0.8900743440226275
cold_lbp_30_16,26.0,0.018039672299208147,0.003365564831833215,0.013390395220588235,0.016180778952205883,0.017563763786764705,0.019034352022058824,0.027774586397058824,1.4273171098027033,2.056240398380914
cold_lbp_30_17,26.0,0.024446099052601807,0.0025751584697364417,0.020272288602941176,0.02283002068014706,0.024158432904411765,0.02558306525735294,0.031186810661764704,1.071186812180373,1.3262559884164933
cold_lbp_30_18,26.0,0.013771740667420816,0.0027530445991041244,0.008048023897058823,0.011995921415441178,0.013488051470588236,0.01469582950367647,0.019829963235294117,0.34009422727366506,0.027006148828360388
cold_lbp_30_19,26.0,0.014260021917420814,0.003028252954339162,0.006594669117647059,0.012702493106617647,0.014033777573529412,0.016126206341911767,0.020197610294117648,-0.28059978429907967,0.24883461134638818
cold_lbp_30_20,26.0,0.01596502934106335,0.0036181827548913137,0.006560202205882353,0.014204676011029411,0.015584788602941177,0.018324908088235295,0.02174862132352941,-0.47737366254444186,0.09302474294650809
cold_lbp_30_21,26.0,0.016017613475678733,0.0037928862592782045,0.007284007352941177,0.013880112591911764,0.016029986213235294,0.01872271369485294,0.023064108455882353,-0.27670935396396734,-0.26210074204842737
cold_lbp_30_22,26.0,0.01487004206730769,0.003765220919986163,0.006060431985294118,0.012870519301470588,0.01465130974264706,0.018556123621323528,0.02048483455882353,-0.3474771704740375,-0.3375131431784584
cold_lbp_30_23,26.0,0.010128853223981901,0.0025702454241667305,0.005692784926470588,0.008468807444852941,0.009866153492647058,0.011556468290441177,0.016854319852941176,0.5913479394463257,0.20338634402983757
cold_lbp_30_24,26.0,0.5803942926329186,0.04362292403640894,0.4843003216911765,0.5548167509191176,0.5853285845588235,0.6126048368566177,0.6596909466911764,-0.44348227716501054,-0.36166013517714557
cold_lbp_30_25,26.0,0.09812707685237555,0.021503093467206275,0.03180721507352941,0.0861428653492647,0.09985638786764706,0.10600155101102941,0.15274586397058823,-0.4110989041530977,2.8867625374557377
cold_area_pct_35,26.0,36.802663673642535,1.480057278926257,35.201056985294116,35.788717830882355,36.17819393382353,37.4875057444853,41.0495174632353,1.260793836258407,1.2389076783832929
cold_mean_35,26.0,138.28265530064425,27.615339689057365,87.79479546763972,111.20611545019479,137.06037250848686,167.412232063016,172.66988610188878,-0.18745423418449572,-1.4023109366501967
cold_std_35,26.0,12.503643363483034,4.940465511735494,7.221796486850682,9.463824849728454,11.881203877681788,13.553077425199277,32.581567618994455,2.6748543799654025,8.627065628800123
cold_median_35,26.0,141.69230769230768,28.1606381046584,90.0,117.0,139.0,170.5,177.0,-0.17106105687401812,-1.355209176462515
cold_lbp_35_0,26.0,0.0069947946125565605,0.0018151598702677242,0.0022748161764705884,0.006362017463235294,0.007048483455882353,0.00841997931985294,0.009817325367647059,-0.7461199945858272,0.2854521769118814
cold_lbp_35_1,26.0,0.003537719174208145,0.0008611176096060356,0.0011948529411764707,0.0030890969669117646,0.0035558363970588235,0.004117359834558824,0.005526194852941177,-0.39843553277652377,1.0136145040500875
cold_lbp_35_2,26.0,0.0038583056419683255,0.0009431737328427596,0.0011431525735294118,0.0034653607536764704,0.003891888786764706,0.00439309512867647,0.005583639705882353,-0.5624147254249924,1.20921807913433
